Hercule Poirot
Arthur Hastings
Vera Rossakoff
Felicity Lemon
Ariadne Oliver
Colonel Johnnie Race
Superintendent Battle
James Japp
Jane Marple
Dermot Craddock
Inspector Slack
Raymond West
Martha Price-Ridley
Dr Haydock
Dolly Bantry
Diana Harmon
Tommy Beresford
Tuppence Beresford
Albert Batt
